track_popularity,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_occurences,duration_sec,genre_latin,genre_pop,genre_r&b,genre_rap,genre_rock,subgenre_big room,subgenre_classic rock,subgenre_dance pop,subgenre_electro house,subgenre_electropop,subgenre_gangster rap,subgenre_hard rock,subgenre_hip hop,subgenre_hip pop,subgenre_indie poptimism,subgenre_latin hip hop,subgenre_latin pop,subgenre_neo soul,subgenre_new jack swing,subgenre_permanent wave,subgenre_pop edm,subgenre_post-teen pop,subgenre_progressive electro house,subgenre_reggaeton,subgenre_southern hip hop,subgenre_trap,subgenre_tropical,subgenre_urban contemporary,days_since_release
90,0.883,0.668,-2.957,1,0.113,0.11,0.000529,0.0734,0.676,87.972,4,226.533,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2331
90,0.548,0.653,-3.875,1,0.081,0.456,0.0,0.103,0.163,150.068,3,174.853,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2429
90,0.548,0.816,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,5,174.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2357
90,0.798,0.675,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,6,219.947,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2548
90,0.335,0.625,-7.462,1,0.0386,0.164,0.0,0.0708,0.346,150.277,1,241.107,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11504
90,0.658,0.901,-2.814,1,0.0357,0.0478,0.0,0.12,0.708,93.979,5,210.52,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2387
90,0.809,0.545,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008,4,180.435,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2499
90,0.778,0.317,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,1,178.627,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2639
90,0.817,0.665,-6.224,0,0.0758,0.0549,0.0,0.103,0.662,104.957,1,215.46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2373
90,0.619,0.459,-5.782,0,0.0334,0.56,0.0,0.137,0.498,126.803,1,184.28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2409
90,0.61,0.624,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,6,250.534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2527
90,0.736,0.369,-9.682,0,0.0688,0.334,0.0,0.126,0.235,140.005,6,222.997,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2352
90,0.745,0.642,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,2,131.24,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2436
89,0.865,0.438,-8.943,1,0.0719,0.177,0.0,0.0743,0.695,129.038,1,223.258,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2509
